(UTC)HistoryTradesWsData;Tipo;Moeda;Valor;Saldo após;Status
20/09/2021 15:36;Taxa de transação;SOL;-0,000096SOL(≈R$0.07);0,031904;Sucesso
20/09/2021 15:36;Compra(SOL/BRL);SOL;+0,032SOL(≈R$24.89);0,032;Sucesso
20/09/2021 15:36;Compra(SOL/BRL);BRL;-R$ 24,95;50,05;Sucesso
20/09/2021 15:36;Taxa de transação;ADA;-0,006455ADA(≈R$0.08);2,145048;Sucesso
20/09/2021 15:36;Compra(ADA/BRL);ADA;+2,1515ADA(≈R$25);2,151503;Sucesso
20/09/2021 15:36;Compra(ADA/BRL);BRL;-R$ 25,00;75;Sucesso
20/09/2021 15:35;Taxa de transação;ETH;-0,0000045ETH(≈R$0.08);0,00149529;Sucesso
20/09/2021 15:35;Compra(ETH/BRL);ETH;+0,00149979ETH(≈R$25);0,00149979;Sucesso
20/09/2021 15:35;Compra(ETH/BRL);BRL;-R$ 25,00;100;Sucesso
20/09/2021 15:30;Depósito em Reais;BRL;R$ 125,00;125;Sucesso
19/09/2021 13:46;Taxa de saque em Reais;BRL;-R$ 10,65;0;Sucesso
19/09/2021 13:46;Saque em Reais;BRL;-R$ 339,58;10,65;Sucesso
19/09/2021 13:43;Taxa de transação;BRL;-R$ 1,06;350,23;Sucesso
19/09/2021 13:43;Venda(BTC/BRL);BTC;-0,00139531BTC(≈R$351.51);0,00139532;Sucesso
19/09/2021 13:43;Venda(BTC/BRL);BRL;R$ 351,29;351,29;Sucesso
19/09/2021 01:01;Taxa de saque em Reais;BRL;-R$ 11,15;0;Sucesso
19/09/2021 01:01;Saque em Reais;BRL;-R$ 438,12;11,15;Sucesso
19/09/2021 00:50;Taxa de transação;BRL;-R$ 0,62;449,27;Sucesso
19/09/2021 00:50;Venda(ADA/BRL);ADA;-16,2713ADA(≈R$204.4);0,000003;Sucesso
19/09/2021 00:50;Venda(ADA/BRL);BRL;R$ 203,49;449,89;Sucesso
19/09/2021 00:50;Venda(ETH/BRL);ETH;-0,01358865ETH(≈R$247.17);0;Sucesso
19/09/2021 00:50;Taxa de transação;BRL;-R$ 0,75;246,4;Sucesso
19/09/2021 00:50;Venda(ETH/BRL);BRL;R$ 247,15;247,15;Sucesso
19/09/2021 00:17;Taxa de saque de criptomoedas;BCH;-0,0001BCH(≈R$0.33);0;Sucesso
19/09/2021 00:17;Saque de criptomoedas;BCH;-0,06304668BCH(≈R$210.45);0,0001;Sucesso
18/09/2021 22:28;Taxa de saque em Reais;BRL;-R$ 10,45;0;Sucesso
18/09/2021 22:28;Saque em Reais;BRL;-R$ 299,58;10,45;Sucesso
18/09/2021 22:25;Venda(ADA/BRL);ADA;-8,7614ADA(≈R$109.97);16,271303;Sucesso
18/09/2021 22:25;Taxa de transação;BRL;-R$ 0,44;310,03;Sucesso
18/09/2021 22:25;Venda(ADA/BRL);BRL;R$ 109,96;310,47;Sucesso
18/09/2021 22:24;Venda(ETH/BRL);ETH;-0,01111797ETH(≈R$201.32);0,01358865;Sucesso
18/09/2021 22:24;Taxa de transação;BRL;-R$ 0,81;200,51;Sucesso
18/09/2021 22:24;Venda(ETH/BRL);BRL;R$ 201,32;201,32;Sucesso
06/09/2021 00:55;Taxa de saque em Reais;BRL;-R$ 14,72;0;Sucesso
06/09/2021 00:55;Saque em Reais;BRL;R$-1,149,57;14,72;Sucesso
06/09/2021 00:41;Taxa de transação;BCH;-0,00031733BCH(≈R$1.25);0,06314668;Sucesso
06/09/2021 00:41;Compra(BCH/BRL);BCH;+0,06346401BCH(≈R$249.93);0,06346401;Sucesso
06/09/2021 00:41;Compra(BCH/BRL);BRL;-R$ 250,00;1.164,29;Sucesso
06/09/2021 00:40;Venda(XMR/BRL);XMR;-0,1904XMR(≈R$309.77);0,0000048;Sucesso
06/09/2021 00:40;Taxa de transação;BRL;-R$ 1,55;1.414,29;Sucesso
06/09/2021 00:40;Venda(XMR/BRL);BRL;R$ 309,76;1.415,84;Sucesso
06/09/2021 00:37;Taxa de transação;BRL;-R$ 1,53;1.106,08;Sucesso
06/09/2021 00:37;Venda(ETH/BRL);BRL;R$ 508,70;1.107,61;Sucesso
06/09/2021 00:37;Venda(ETH/BRL);ETH;-0,02490661ETH(≈R$511.37);0,02470662;Sucesso
06/09/2021 00:37;Taxa de transação;BRL;-R$ 1,81;598,91;Sucesso
06/09/2021 00:37;Venda(BTC/BRL);BRL;R$ 600,72;600,72;Sucesso
06/09/2021 00:37;Venda(BTC/BRL);BTC;-0,002235BTC(≈R$600.35);0,00279063;Sucesso
05/09/2021 10:00;Investimento;BTC;+0,00463189BTC(≈R$1212.6);0,00502563;Sucesso
20/07/2021 13:34;Taxa de transação;ADA;-0,022678ADA(≈R$0.12);25,032703;Sucesso
20/07/2021 13:34;Compra(ADA/BRL);ADA;+4,5355ADA(≈R$24.96);25,055381;Sucesso
20/07/2021 13:34;Compra(ADA/BRL);BRL;-R$ 25,00;0;Sucesso
20/07/2021 13:33;Taxa de transação;XMR;-0,000129XMR(≈R$0.12);0,1904048;Sucesso
20/07/2021 13:33;Compra(XMR/BRL);XMR;+0,0258XMR(≈R$24.9);0,1905338;Sucesso
20/07/2021 13:33;Compra(XMR/BRL);BRL;-R$ 25,00;25;Sucesso
20/07/2021 13:33;Taxa de transação;ETH;-0,0000134ETH(≈R$0.12);0,04961323;Sucesso
20/07/2021 13:33;Compra(ETH/BRL);ETH;+0,00267903ETH(≈R$24.89);0,04962663;Sucesso
20/07/2021 13:33;Compra(ETH/BRL);BRL;-R$ 25,00;50;Sucesso
20/07/2021 13:32;Taxa de transação;BTC;-0,0000008BTC(≈R$0.13);0,00039374;Sucesso
20/07/2021 13:32;Compra(BTC/BRL);BTC;+0,00015855BTC(≈R$25);0,00039454;Sucesso
20/07/2021 13:32;Compra(BTC/BRL);BRL;-R$ 25,00;75;Sucesso
20/07/2021 13:30;Depósito em Reais;BRL;R$ 100,00;100;Sucesso
22/06/2021 14:41;Taxa de transação;ADA;-0,027319ADA(≈R$0.15);20,519881;Sucesso
22/06/2021 14:41;Compra(ADA/BRL);ADA;+5,4637ADA(≈R$29.91);20,5472;Sucesso
22/06/2021 14:41;Compra(ADA/BRL);BRL;-R$ 30,00;0;Sucesso
22/06/2021 14:41;Taxa de transação;ETH;-0,000014ETH(≈R$0.13);0,0469476;Sucesso
22/06/2021 14:41;Compra(ETH/BRL);ETH;+0,00279955ETH(≈R$25);0,0469616;Sucesso
22/06/2021 14:41;Compra(ETH/BRL);BRL;-R$ 25,00;30;Sucesso
22/06/2021 14:40;Taxa de transação;BTC;-0,00000083BTC(≈R$0.13);0,00023599;Sucesso
22/06/2021 14:40;Compra(BTC/BRL);BTC;+0,0001651BTC(≈R$24.95);0,00023682;Sucesso
22/06/2021 14:40;Compra(BTC/BRL);BRL;-R$ 25,00;55;Sucesso
22/06/2021 14:40;Depósito em Reais;BRL;R$ 80,00;80;Sucesso
17/06/2021 14:28;Taxa de transação;ETH;-0,0000203ETH(≈R$0.25);0,04416205;Sucesso
17/06/2021 14:28;Compra(ETH/BRL);ETH;+0,00405922ETH(≈R$49.28);0,04418235;Sucesso
17/06/2021 14:28;Compra(ETH/BRL);BRL;-R$ 50,00;0;Sucesso
17/06/2021 14:28;Taxa de transação;ADA;-0,032557ADA(≈R$0.25);15,0835;Sucesso
17/06/2021 14:28;Compra(ADA/BRL);ADA;+6,5113ADA(≈R$49.71);15,116057;Sucesso
17/06/2021 14:28;Compra(ADA/BRL);BRL;-R$ 50,00;50;Sucesso
17/06/2021 14:20;Depósito em Reais;BRL;R$ 50,00;100;Sucesso
17/06/2021 14:20;Depósito em Reais;BRL;R$ 50,00;50;Sucesso
24/05/2021 14:42;Investimento;ETH;-0,04ETH(≈R$520.04);0,00003379;Sucesso
24/05/2021 14:41;Taxa de transação;ADA;-0,015643ADA(≈R$0.12);8,604757;Sucesso
24/05/2021 14:41;Compra(ADA/BRL);ADA;+3,1286ADA(≈R$25);8,6204;Sucesso
24/05/2021 14:41;Compra(ADA/BRL);BRL;-R$ 25,00;0;Sucesso
24/05/2021 14:41;Taxa de transação;ETH;-0,00000954ETH(≈R$0.12);0,04003379;Sucesso
24/05/2021 14:41;Compra(ETH/BRL);ETH;+0,00190697ETH(≈R$24.79);0,04004333;Sucesso
24/05/2021 14:41;Compra(ETH/BRL);BRL;-R$ 25,00;25;Sucesso
22/05/2021 10:00;Investimento;ETH;+0,036385ETH(≈R$470.84);0,03813636;Sucesso
19/05/2021 18:12;Taxa de transação;BRL;-R$ 0,15;50;Sucesso
19/05/2021 18:12;Compra(ADA/BRL);BRL;-R$ 49,85;50,15;Sucesso
19/05/2021 18:12;Compra(ADA/BRL);ADA;+5,4918ADA(≈R$49.61);5,4918;Sucesso
19/05/2021 18:11;Taxa de transação;BRL;-R$ 0,08;100;Sucesso
19/05/2021 18:11;Compra(XMR/BRL);BRL;-R$ 24,92;100,08;Sucesso
19/05/2021 18:11;Compra(XMR/BRL);XMR;+0,01977XMR(≈R$24.77);0,1647338;Sucesso
19/05/2021 18:10;Taxa de transação;BRL;-R$ 0,08;125;Sucesso
19/05/2021 18:10;Compra(ETH/BRL);BRL;-R$ 24,92;125,08;Sucesso
19/05/2021 18:10;Compra(ETH/BRL);ETH;+0,00170729ETH(≈R$24.93);0,00175136;Sucesso
