HISTORY;TIPO;MOEDA;QTDE;SALDO_UNITARIO;STATUS;CUSTO_OPERACAO;COTACAO;SALDO_REAIS;PRECO_MEDIO;LUCRO/PREJUIZO
29/11/2021;compra;ADA;2,7891;22,788127;Sucesso;24,94;8,941952601197519;203,7703515040694;8,882985235187903;0,0
29/11/2021;compra;SOL;0,021;0,13425;Sucesso;24,43;1163,3333333333333;156,1775;1156,8703703703707;0,0
29/11/2021;compra;SOL;0,021;0,1551555;Sucesso;24,38;1160,9523809523807;180,1281471428571;1154,6676098901098;0,0
29/11/2021;compra;SOL;0,021;0,176061;Sucesso;24,44;1163,8095238095239;204,90146857142858;1157,6354156577888;0,0
29/11/2021;compra;SOL;0,021;0,1969665;Sucesso;24,32;1158,095238095238;228,1059657142857;1152,050331890332;0,0
29/11/2021;compra;ADA;2,7905;25,566076;Sucesso;25,0;8,958967926894822;229,04565490055543;8,901925576879638;0,0
30/11/2021;compra;ETH;0,00095791;0,01095119;Sucesso;25,0;26098,485243916442;285,8094706183253;-9859,646838267316;0,0
30/11/2021;compra;BTC;7,617e-05;0,00079372;Sucesso;24,98;327950,6367336222;260,3009793882106;332037,73121782095;0,0
30/11/2021;compra;SOL;0,021;0,217872;Sucesso;24,76;1179,047619047619;256,8814628571429;1172,9747162426618;0,0
30/11/2021;compra;ADA;2,7534;28,306918;Sucesso;24,94;9,057892060724923;256,4010078157914;9,001801329754326;0,0
04/12/2021;compra;BTC;9,239e-05;0,00088611;Sucesso;25,0;270592,05541725294;239,77432622578198;273608,7890838968;0,0
04/12/2021;compra;ADA;3,2182;31,512727;Sucesso;24,91;7,740351749425145;243,919591563607;7,694260257830292;0,0
04/12/2021;compra;BTC;8,739e-05;0,0009735;Sucesso;25,0;286073,92150131596;278,49296258153106;288974,0514267805;0,0
23/12/2021;compra;SOL;0,024;0,2417775;Sucesso;24,55;1022,9166666666666;247,318234375;1017,7705118312759;0,0
23/12/2021;compra;GALA;18,0;18,0;Sucesso;49,06;2,7255555555555557;49,06;2,7255555555555557;0,0
